Source Name,Village,Parish,Sub county ,County,District,GPS Location,Lab Identifier Code,Electrical Conductivity,pH ,Turbidity,Color (Apparent),Total Alkalinity ,Total hardness ,Calcium Hardardness ,Flouride,Nitrites ,Sulphate ,Ammonium-N ,Chloride ,Phosphates-P ,Nitrates,Sodium ,Potassium ,Iron ,Free Chlorine,Total Chlorine,GPS location,GPS location2,e.coli,Total Dissolved Solids,Bicarbonates,Magnesium Hardness,Easting,Northing,Latitude,Longitude,Altitude,Field Temperature ,Source Type,Fluoride,GPS Latitude,GPS Longtude,GPSEasting,GPSNorthing,Dissolved Oxygen,Total Hardness as CaCO3,Magnesium hardness as CaCO3,Calcium,Silica,Mercury,Lead,Manganese
Kilikwani tap,Bugembe,Bugembe T/C,Mafubira division,Jinja City,Jinja,E526362 N51478,E23/00103,103,6.9,2.34,22,43,33,18,0.26236,0.01509,4.10009,0.16075,5.01257,0.03779,0.3225,8.9,3,0.27,0.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndiba Roseline tap,Masese,0,Walukuba division,Jinja City,jinja,E526349 N49702,E23/00104,111,6.7,2.23,20,48,35,19,0.22605,0.00318,3.72661,<0.002,4.58644,0.09726,2.49162,9.2,3.2,0.16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Musisi bad man tap,Masese,0,Walukuba division,Jinja City,Jinja,E526921 N48543,E23/00105,101,6.8,2.92,15,41,27,19,0.25573,0.0076,4.27461,0.03963,4.59145,0.05778,0.51466,8.5,2.9,0.34,0.05,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinja college Borehole,Rubaga hill,Rubaga,Kimaka-Mpumudde,Jinja City,jinja,E523658 N49584,E23/00109,648,6.6,2.12,4,175,310,125,0.6697,0.00678,69.27158,<0.002,51.08993,0.99905,6.686,11,4,0.07,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mpumudde mosque B/H,Mpumudde,Mpumudde,Mpumudde,Jinja City,Jinja,E523831 N51559,E22/00110,1041,6.8,3.48,27,320,430,230,0.681,0.08142,62.21922,0.02197,68.54926,0.05519,17.75154,48,13,2.16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mawuta B/H C046,Mawuta,Mafubira,Mafubira division,Jinja City,Jinja,E524050 N54463,E23/00111,1393,6.9,6.25,75,350,730,400,0.31554,0.01351,233.9129,<0.002,147.8959,0.11509,0.31634,16,5.2,0.29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nsube B/H,Nsube,Mafubira,Mafubira division,Jinja City,Jinja,E524435 N61008,E23/00112,492,6.5,1.91,1,230,220,105,0.26735,0.00658,21.39238,<0.002,7.99265,0.04659,6.69617,20,4,0.31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutai S/W,Mutai,Kagoma,Buwenge,jinja,Jinja,E524220 N61707,E23/00113,292,6,1.85,1,91,120,60,0.27796,0.00355,27.93701,0.04345,8.03672,0.11088,6.14984,17,1.4,0.15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutai police post tap,Mutai,Kagoma,Buwenge,Jinja,Jinja,E523590 N62539,E23/00114,106,6.7,2.11,11,41,36,16,0.29205,0.00256,4.95072,0.02983,5.91122,0.10657,0.51079,9.3,3.1,0.13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kagoma protected spring,Kagoma,Kagoma,Buwenge,Jinja,Jinja,E522300 N65456,E23/00115,198,5.4,2.37,6,38,62,38,0.05172,0.00502,14.85099,0.00394,13.07676,0.02826,7.59498,9.2,5.1,0.24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
AGM Tap,Nalufenya,Mpumudde,Mpumudde division,Jinja City,Jinja,E521619 N48543,E23/00117,104,6.8,2.43,22,46,33,20,0.28131,0.03649,4.89396,0.11817,5.31612,0.02851,0.22467,8.9,3.1,0.24,0.04,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Shallow well at prison mosque@district HQ,Butakanila,Bugiri,Kapyangha,Bukooli,Bugiri,E583492 N60709,E23/00090,246,7,2.69,57,125,110,95,0.4069,0.15106,5.12238,1.62681,2.85226,0.29374,0.71488,42,7,1.35,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyubu Shallow well,Buyubu,Bugiri,Kapyangha,Bukooli,Bugiri,E582815 N59414,E23/00091,585,6.7,2.22,21,330,97,47,0.09621,0.01788,11.87691,0.38375,6.76433,0.52461,0.38758,120,2.2,0.32,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kikabala Primary School Borehole,Kikabala,Nakavule,Kapyangha,Bukooli,Bugiri,E582485 N58571,E23/00092,533,6.6,2.75,36,290,220,125,0.00564,0.00224,4.48113,0.01781,15.03327,0.16367,0.27989,33,4.7,0.02,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Lubila open well,Lubila,Nakavule,Kapyangha,Bukooli,Bugiri,E583041 N57880,E23/00093,218,5.7,3.98,29,98,105,77,0.19449,0.01352,7.09486,0.03977,6.81628,0.02301,2.28204,5.3,3.5,0.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bukonde protected spring,Bukonde,Bugiri A,Kapyangha,Bukooli  North,Bugiri,E585561 N62233,E23/00094,139,5.6,4.37,66,50,48,29,0.24617,0.00315,3.92465,0.01966,3.02388,0.01978,5.32393,8.7,2.1,0.58,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Namasele Shallow wll,Nawambidi,Namasele,Buwuni T/C,Bukooli Central,Bugiri,E593155 N57813,E23/00095,376,6.8,2.05,18,165,145,105,0.43464,0.00844,10.16964,0.03491,16.13151,0.07286,4.51209,15,12,0.02,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Galidde Simon PSP,Nawambidi A,Nawambidi,Buwuni T/C,Bukooli Central,Bugiri,E592960 N57742,E23/00096,692,6.6,1.84,4,360,300,165,0.43982,0.01605,31.55526,0.01546,13.61723,0.33127,2.52018,37,1.5,0.04,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdul PSP,Namayemba,Namayemba Central,Namayemba T/C,Bukooli North,Bugiri,E589049 N56897,E23/00097,694,6.6,1.87,2,350,300,185,0.36287,0.00584,26.91282,0.02757,14.03153,0.09782,2.44874,40,1.5,<0.03,0.03,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Owino Ben protected spring,Namayemba East,Sagaza,Kapyangha,Bukooli North,Bugiri,E587948 N58204,E23/00098,208,5.8,2.39,16,77,90,60,0.32835,0.00516,3.23099,<0.002,7.93193,0.12485,4.91619,7.1,3.6,0.14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Gamulunguka protected spring,Ndifakulya,Ndifakulya,Kapyangha,Bukooli North,Bugiri,E582906 N63846,E23/00099,255,4.9,2.03,2,20,75,33,0.08023,0.00356,4.55691,0.002,27.75374,0.13348,15.90426,17,4.6,0.09,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mugoya Ayub Shallow well,Ndifakulya,Ndifakulya,Kapyangha,Bukooli North,Bugiri,E582857 N63591,E23/00100,166,4.9,2.39,12,17,48,24,0.0064,0.04979,1.10713,0.04933,18.48677,0.02928,10.31733,15,3.4,<0.03,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kimombasa Kiosk PSP,Kimombasa,Ndifakulya,Western division,Bugiri municipality,Bugiri,E582819 N63213,E23/00101,532,7.2,5.86,88,280,87,39,0.48323,0.00054,14.4673,<0.002,11.09895,0.27431,2.17129,100,2.5,0.03,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nandhubu Samuel Shallow well,Musongola,Bwole,Western division,Bukooli North,Bugiri,E583153 N61851,E23/00102,154,5.2,2.49,4,31,57,31,0.10689,0.01351,1.37298,0.0101,10.05952,0.04595,7.40649,10,2.4,0.02,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
